%index, %time, %length,,t1,t2,b1,b2
145,1408134926,1408134926,8192,5.541329861,5.541389942,832519.3441,832519.3441
146,1408134926,1408134926,8192,5.551169872,5.551229954,832519.3441,832519.3441
147,1408134927,1408134927,8192,5.561009884,5.561079979,832519.3441,831673.0011
148,1408134927,1408134927,8192,5.570930004,5.570989847,825796.4422,826650.7487
149,1408134927,1408134927,8192,5.580770016,5.580829859,832519.3441,832519.3441
150,1408134927,1408134927,8192,5.59063983,5.590699911,830005.5165,829985.4671
151,1408134927,1408134927,8192,5.600489855,5.600549936,831673.0011,831673.0011
152,1408134927,1408134927,8192,5.61033988,5.610399961,831673.0011,831673.0011
153,1408134927,1408134927,8192,5.620169878,5.620239973,833367.4113,832519.3441
154,1408134927,1408134927,8192,5.630019903,5.630079985,831673.0011,832519.3441
155,1408134927,1408134927,8192,5.639869928,5.63993001,831673.0011,831673.0011
156,1408134927,1408134927,8192,5.649729967,5.649799824,830828.3772,830005.5165
157,1408134927,1408134927,8192,5.659579992,5.659639835,831673.0011,832519.3441
158,1408134927,1408134927,8192,5.669420004,5.669479847,832519.3441,832519.3441
159,1408134927,1408134927,8192,5.679269791,5.679339886,831693.1321,830828.3772
160,1408134927,1408134927,8192,5.689109802,5.689169884,832519.3441,833367.4113
161,1408134927,1408134927,8192,5.698969841,5.699029922,830828.3772,830828.3772
162,1408134927,1408134927,8192,5.708809853,5.708869934,832519.3441,832519.3441
163,1408134927,1408134927,8192,5.718719959,5.718789816,826630.861,825816.2898
164,1408134927,1408134927,8192,5.728569984,5.728639841,831673.0011,831673.0011
165,1408134927,1408134927,8192,5.73842001,5.738479853,831673.0011,832519.3441
166,1408134927,1408134927,8192,5.748259783,5.748329878,832539.5161,831673.0011
167,1408134927,1408134927,8192,5.758109808,5.758169889,831673.0011,832519.3441
168,1408134927,1408134927,8192,5.76794982,5.768009901,832519.3441,832519.3441
169,1408134927,1408134927,8192,5.777799845,5.777859926,831673.0011,831673.0011
170,1408134927,1408134927,8192,5.787659883,5.787719965,830828.3772,830828.3772
171,1408134927,1408134927,8192,5.797590017,5.797659874,824963.7063,824152.4158
172,1408134927,1408134927,8192,5.807439804,5.807509899,831693.1321,831673.0011
173,1408134927,1408134927,8192,5.817279816,5.817339897,832519.3441,833367.4113
174,1408134927,1408134927,8192,5.827139854,5.827199936,830828.3772,830828.3772
175,1408134927,1408134927,8192,5.836979866,5.837049961,832519.3441,831673.0011
176,1408134927,1408134927,8192,5.846829891,5.846899986,831673.0011,831673.0011
177,1408134927,1408134927,8192,5.856679916,5.856739998,831673.0011,832519.3441
178,1408134927,1408134927,8192,5.866589785,5.86665988,826650.7487,825816.2898
179,1408134927,1408134927,8192,5.87643981,5.876499891,831673.0011,832519.3441
180,1408134927,1408134927,8192,5.886289835,5.886349916,831673.0011,831673.0011
181,1408134927,1408134927,8192,5.896129847,5.896199942,832519.3441,831673.0011
182,1408134927,1408134927,8192,5.905979872,5.906039953,831673.0011,832519.3441
183,1408134927,1408134927,8192,5.91580987,5.915879965,833367.4113,832519.3441
184,1408134927,1408134927,8192,5.925659895,5.925719976,831673.0011,832519.3441
185,1408134927,1408134927,8192,5.935519934,5.935580015,830828.3772,830828.3772
186,1408134927,1408134927,8192,5.945379972,5.945449829,830828.3772,830005.5165
187,1408134927,1408134927,8192,5.955229998,5.955299854,831673.0011,831673.0011
188,1408134927,1408134927,8192,5.965079784,5.965149879,831693.1321,831673.0011
189,1408134927,1408134927,8192,5.97492981,5.974999905,831673.0011,831673.0011
190,1408134927,1408134927,8192,5.984779835,5.984839916,831673.0011,832519.3441
191,1408134927,1408134927,8192,5.994619846,5.994689941,832519.3441,831673.0011
192,1408134927,1408134927,8192,6.004459858,6.004519939,832519.3441,833367.4113
193,1408134927,1408134927,8192,6.014369965,6.014439821,826630.861,825816.2898
194,1408134927,1408134927,8192,6.024230003,6.024289846,830828.3772,831673.0011
195,1408134927,1408134927,8192,6.034070015,6.034129858,832519.3441,832519.3441
196,1408134927,1408134927,8192,6.043909788,6.04396987,832539.5161,832519.3441
197,1408134927,1408134927,8192,6.0537498,6.053819895,832519.3441,831673.0011
198,1408134927,8192,,6.061999798,-1408126729,0,0
199,1408134927,1408134927,8192,6.070189953,6.070299864,1000225.267,5.81766E-06
200,1408134927,8192,,6.078399897,-1408126729,0,0
201,1408134927,1408134927,8192,6.086619854,6.086679935,996598.8447,5.81766E-06
202,1408134927,8192,,6.094819784,-1408126729,0,0
203,1408134927,1408134927,8192,6.103009939,6.103069782,1000225.267,5.81766E-06
204,1408134927,8192,,6.111209869,-1408126729,0,0
205,1408134927,1408134927,8192,6.119390011,6.119459867,1001449.676,5.81766E-06
206,1408134927,8192,,6.127599955,-1408126729,0,0
207,1408134927,1408134927,8192,6.135779858,6.135849953,1001478.865,5.81766E-06
208,1408134927,8192,,6.14406991,-1408126729,0,0
209,1408134927,1408134927,8192,6.152249813,6.152319908,1001478.865,5.81766E-06
210,1408134927,8192,,6.160470009,-1408126729,0,0
211,1408134927,1408134927,8192,6.168659925,6.168729782,1000254.385,5.81766E-06
212,1408134927,8192,,6.176859856,-1408126729,0,0
213,1408134927,1408134927,8192,6.185050011,6.185119867,1000225.267,5.81766E-06
214,1408134927,8192,,6.193259954,-1408126729,0,0
215,1408134927,1408134927,8192,6.201439857,6.201599836,1001478.865,5.81766E-06
216,1408134927,8192,,6.209679842,-1408126729,0,0
217,1408134927,1408134927,8192,6.217880011,6.217939854,999003.8486,5.81766E-06
218,1408134927,8192,,6.226089954,-1408126729,0,0
219,1408134927,1408134927,8192,6.234279871,6.234339952,1000254.385,5.81766E-06
220,1408134927,8192,,6.242499828,-1408126729,0,0
221,1408134927,1408134927,8192,6.250689983,6.250749826,1000225.267,5.81766E-06
222,1408134927,8192,,6.258899927,-1408126729,0,0
223,1408134927,1408134927,8192,6.267129898,6.267199993,995386.2617,5.81766E-06
224,1408134927,8192,,6.275339842,-1408126729,0,0
225,1408134927,1408134927,8192,6.28354001,6.283599854,999003.8486,5.81766E-06
226,1408134927,8192,,6.291749954,-1408126729,0,0
227,1408134927,1408134927,8192,6.299939871,6.299999952,1000254.385,5.81766E-06
228,1408134927,8192,,6.308139801,-1408126729,0,0
229,1408134927,1408134927,8192,6.316319942,6.316379786,1001449.676,5.81766E-06
230,1408134927,8192,,6.324529886,-1408126729,0,0
231,1408134927,1408134927,8192,6.332749844,6.332809925,996598.8447,5.81766E-06
232,1408134927,8192,,6.340959787,-1408126729,0,0
233,1408134927,1408134927,8192,6.349139929,6.349209785,1001449.676,5.81766E-06
234,1408134927,8192,,6.357349873,-1408126729,0,0
235,1408134927,1408134927,8192,6.365649939,6.365719795,986980.1042,5.81766E-06
236,1408134927,8192,,6.373859882,-1408126729,0,0
237,1408134927,1408134927,8192,6.382049799,6.382119894,1000254.385,5.81766E-06
238,1408134927,8192,,6.390329838,-1408126729,0,0
239,1408134927,1408134927,8192,6.398519993,6.398589849,1000225.267,5.81766E-06
240,1408134927,8192,,6.40673995,-1408126729,0,0
241,1408134927,1408134927,8192,6.414929867,6.414989948,1000254.385,5.81766E-06
242,1408134927,8192,,6.423139811,-1408126729,0,0
243,1408134927,1408134927,8192,6.431319952,6.431389809,1001449.676,5.81766E-06
244,1408134927,8192,,6.439509869,-1408126729,0,0
245,1408134927,1408134927,8192,6.447699785,6.44776988,1000254.385,5.81766E-06
246,1408134927,8192,,6.455929995,-1408126729,0,0
247,1408134927,1408134927,8192,6.464129925,6.464190006,999032.8953,5.81766E-06
248,1408134927,8192,,6.472339869,-1408126729,0,0
249,1408134927,1408134927,8192,6.480539799,6.48059988,999032.8953,5.81766E-06
250,1408134927,8192,,6.488749981,-1408126729,0,0
251,1408134927,1408134927,8192,6.496939898,6.497009993,1000254.385,5.81766E-06
252,1408134927,8192,,6.505149841,-1408126729,0,0
253,1408134927,1408134927,8192,6.513409853,6.513479948,991766.1529,5.81766E-06
254,1408134927,8192,,6.52162981,-1408126729,0,0
255,1408134927,1408134927,8192,6.529819965,6.529889822,1000225.267,5.81766E-06
256,1408134927,1408134927,8192,6.538729906,6.538800001,919422.5032,919397.9013
257,1408134927,8192,,6.546949863,-1408126729,0,0
258,1408134928,1408134928,8192,6.555140018,6.555209875,1000225.267,5.81766E-06
259,1408134928,8192,,6.563369989,-1408126729,0,0
260,1408134928,1408134928,8192,6.571549892,6.571619987,1001478.865,5.81766E-06
261,1408134928,8192,,6.57976985,-1408126729,0,0
262,1408134928,1408134928,8192,6.587999821,6.588069916,995386.2617,5.81766E-06
263,1408134928,8192,,6.596210003,-1408126729,0,0
264,1408134928,1408134928,8192,6.60439992,6.604470015,1000254.385,5.81766E-06
265,1408134928,8192,,6.612609863,-1408126729,0,0
266,1408134928,1408134928,8192,6.620809793,6.620879889,999032.8953,5.81766E-06
267,1408134928,8192,,6.629059792,-1408126729,0,0
268,1408134928,1408134928,8192,6.63725996,6.637329817,999003.8486,5.81766E-06
269,1408134928,8192,,6.645479918,-1408126729,0,0
270,1408134928,1408134928,8192,6.653679848,6.653749943,999032.8953,5.81766E-06
271,1408134928,8192,,6.661889791,-1408126729,0,0
272,1408134928,1408134928,8192,6.670079947,6.670149803,1000225.267,5.81766E-06
273,1408134928,8192,,6.678299904,-1408126729,0,0
274,1408134928,1408134928,8192,6.68648982,6.686549902,1000254.385,5.81766E-06
275,1408134928,8192,,6.694700003,-1408126729,0,0
276,1408134928,1408134928,8192,6.702889919,6.702960014,1000254.385,5.81766E-06
277,1408134928,8192,,6.711099863,-1408126729,0,0
278,1408134928,1408134928,8192,6.719290018,6.719359875,1000225.267,5.81766E-06
279,1408134928,8192,,6.727499962,-1408126729,0,0
280,1408134928,1408134928,8192,6.735689878,6.735759974,1000254.385,5.81766E-06
281,1408134928,8192,,6.743899822,-1408126729,0,0
282,1408134928,1408134928,8192,6.752159834,6.752219915,991766.1529,5.81766E-06
283,1408134928,8192,,6.760370016,-1408126729,0,0
284,1408134928,1408134928,8192,6.768559933,6.768620014,1000254.385,5.81766E-06
285,1408134928,8192,,6.776759863,-1408126729,0,0
286,1408134928,1408134928,8192,6.784950018,6.785019875,1000225.267,5.81766E-06
287,1408134928,8192,,6.793169975,-1408126729,0,0
288,1408134928,1408134928,8192,6.801349878,6.801419973,1001478.865,5.81766E-06
289,1408134928,8192,,6.809639931,-1408126729,0,0
290,1408134928,1408134928,8192,6.817849874,6.81791997,997814.3856,5.81766E-06
291,1408134928,8192,,6.826059818,-1408126729,0,0
292,1408134928,1408134928,8192,6.834249973,6.83431983,1000225.267,5.81766E-06
293,1408134928,8192,,6.842459917,-1408126729,0,0
294,1408134928,1408134928,8192,6.85063982,6.850709915,1001478.865,5.81766E-06
295,1408134928,8192,,6.858850002,-1408126729,0,0
296,1408134928,1408134928,8192,6.867049932,6.867119789,999032.8953,5.81766E-06
297,1408134928,8192,,6.875329971,-1408126729,0,0
298,1408134928,1408134928,8192,6.883519888,6.883589983,1000254.385,5.81766E-06
299,1408134928,8192,,6.891729832,-1408126729,0,0
300,1408134928,1408134928,8192,6.899919987,6.89997983,1000225.267,5.81766E-06
301,1408134928,8192,,6.908119917,-1408126729,0,0
302,1408134928,1408134928,8192,6.91629982,6.916369915,1001478.865,5.81766E-06
303,1408134928,8192,,6.924510002,-1408126729,0,0
304,1408134928,1408134928,8192,6.932699919,6.932770014,1000254.385,5.81766E-06
305,1408134928,8192,,6.940919876,-1408126729,0,0
306,1408134928,1408134928,8192,6.949109793,6.949179888,1000254.385,5.81766E-06
307,1408134928,8192,,6.957319975,-1408126729,0,0
308,1408134928,1408134928,8192,6.965600014,6.965659857,989367.3405,5.81766E-06
309,1408134928,8192,,6.973829985,-1408126729,0,0
310,1408134928,1408134928,8192,6.982019901,6.982089996,1000254.385,5.81766E-06
311,1408134928,8192,,6.990259886,-1408126729,0,0
312,1408134928,1408134928,8192,6.99849987,6.998569965,994176.6259,5.81766E-06
313,1408134928,8192,,7.006709814,-1408126729,0,0
314,1408134928,1408134928,8192,7.014889956,7.014959812,1001449.676,5.81766E-06
315,1408134928,8192,,7.023099899,-1408126729,0,0
316,1408134928,1408134928,8192,7.031289816,7.031349897,1000254.385,5.81766E-06
317,1408134928,8192,,7.039499998,-1408126729,0,0
318,1408134928,1408134928,8192,7.047689915,7.047749996,1000254.385,5.81766E-06
319,1408134928,8192,,7.055939913,-1408126729,0,0
320,1408134928,1408134928,8192,7.064329863,7.064399958,976406.3191,5.81766E-06
321,1408134928,1408134928,8192,7.072729826,7.072799921,975242.347,975242.347
322,1408134928,1408134928,8192,7.081169844,7.081239939,970614.0782,970614.0782
323,1408134928,1408134928,8192,7.089659929,7.089729786,964890.1536,964917.2504
324,1408134928,1408134928,8192,7.098059893,7.098129988,975242.347,975214.6672
325,1408134928,1408134928,8192,7.10646987,7.106529951,974081.1467,975242.347
326,1408134928,1408134928,8192,7.114879847,7.114939928,974081.1467,974081.1467
327,1408134928,1408134928,8192,7.123359919,7.12342,966029.5313,966029.5313
328,1408134928,1408134928,8192,7.131759882,7.131819963,975242.347,975242.347
329,1408134928,1408134928,8192,7.140159845,7.140219927,975242.347,975242.347
330,1408134928,1408134928,8192,7.148549795,7.148609877,976406.3191,976406.3191
331,1408134928,1408134928,8192,7.156939983,7.15700984,976378.5732,975242.347
332,1408134928,1408134928,8192,7.165339947,7.16539979,975242.347,976406.3191
333,1408134928,1408134928,8192,7.17373991,7.173810005,975242.347,974053.5328
334,1408134928,1408134928,8192,7.182139874,7.182209969,975242.347,975242.347
335,1408134928,1408134928,8192,7.190559864,7.190629959,972922.7083,972922.7083
336,1408134928,1408134928,8192,7.198959827,7.199019909,975242.347,976406.3191
337,1408134928,1408134928,8192,7.207359791,7.207409859,975242.347,976406.3191
338,1408134928,1408134928,8192,7.215749979,7.215809822,976378.5732,975242.347
339,1408134928,1408134928,8192,7.224149942,7.224209785,975242.347,975242.347
340,1408134928,1408134928,8192,7.232559919,7.232620001,974081.1467,974053.5328
341,1408134928,1408134928,8192,7.240959883,7.241019964,975242.347,975242.347
342,1408134928,1408134928,8192,7.249429941,7.249489784,967171.603,967198.8281
343,1408134928,1408134928,8192,7.257839918,7.2579,974081.1467,974053.5328
344,1408134928,1408134928,8192,7.266229868,7.266299963,976406.3191,975242.347
345,1408134928,1408134928,8192,7.274639845,7.274699926,974081.1467,975242.347
346,1408134928,1408134928,8192,7.283039808,7.28309989,975242.347,975242.347
347,1408134928,1408134928,8192,7.291429996,7.291499853,976378.5732,975242.347
348,1408134928,1408134928,8192,7.29982996,7.299889803,975242.347,976406.3191
349,1408134928,1408134928,8192,7.308229923,7.308300018,975242.347,974053.5328
350,1408134928,1408134928,8192,7.316649914,7.316720009,972922.7083,972922.7083
351,1408134928,1408134928,8192,7.325049877,7.325109959,975242.347,976406.3191
352,1408134928,1408134928,8192,7.333439827,7.333549976,976406.3191,970614.0782
353,1408134928,1408134928,8192,7.341849804,7.341909885,974081.1467,979914.966
354,1408134928,1408134928,8192,7.350239992,7.350309849,976378.5732,975242.347
355,1408134928,1408134928,8192,7.358639956,7.358699799,975242.347,976406.3191
356,1408134928,1408134928,8192,7.367039919,7.367110014,975242.347,974053.5328
357,1408134928,1408134928,8192,7.375519991,7.375579834,966029.5313,967198.8281
358,1408134928,1408134928,8192,7.383919954,7.383989811,975242.347,974081.1467
359,1408134928,1408134928,8192,7.392319918,7.392379999,975242.347,976378.5732
360,1408134928,1408134928,8192,7.400719881,7.400789976,975242.347,974081.1467
361,1408134928,1408134928,8192,7.409119844,7.409179926,975242.347,976406.3191
362,1408134928,1408134928,8192,7.417599916,7.417670012,966029.5313,964890.1536
363,1408134928,1408134928,8192,7.42599988,7.426059961,975242.347,976406.3191
364,1408134928,1408134928,8192,7.434409857,7.434469938,974081.1467,974081.1467
365,1408134928,1408134928,8192,7.44280982,7.442879915,975242.347,974081.1467
366,1408134928,1408134928,8192,7.451209784,7.451279879,975242.347,975242.347
367,1408134928,1408134928,8192,7.459609985,7.459679842,975214.6672,975242.347
368,1408134928,1408134928,8192,7.468009949,7.468069792,975242.347,976406.3191
369,1408134928,1408134928,8192,7.476399899,7.476469994,976406.3191,975214.6672
370,1408134928,1408134928,8192,7.484789848,7.484859943,976406.3191,976406.3191
371,1408134928,1408134928,8192,7.493199825,7.493259907,974081.1467,975242.347
372,1408134928,1408134928,8192,7.501729965,7.501799822,960359.3931,959260.1236
373,1408134928,1408134928,8192,7.510149956,7.510219812,972922.7083,972922.7083
